transaction_id,amount,timestamp,merchant_category,location,user_id
EC-000001,31.61,2025-01-01T08:37:00,restaurant:Starbucks,"Seattle, WA",USR-EC-109
EC-000002,53.33,2025-01-01T19:33:00,gas:BP,"Denver, CO",USR-EC-129
EC-000003,65.76,2025-01-01T18:24:00,utilities:Electric Co,"Seattle, WA",USR-EC-085
EC-000004,80.4,2025-01-01T17:33:00,electronics:Newegg,"Los Angeles, CA",USR-EC-097
EC-000005,30.02,2025-01-01T16:52:00,electronics:B&H Photo,"Philadelphia, PA",USR-EC-033
EC-000006,55.82,2025-01-01T23:01:00,travel:United Airlines,"San Antonio, TX",USR-EC-119
EC-000007,38.43,2025-01-01T23:13:00,travel:United Airlines,"Miami, FL",USR-EC-035
EC-000008,82.21,2025-01-01T23:08:00,restaurant:Chipotle,"Chicago, IL",USR-EC-146
EC-000009,22.85,2025-01-01T09:39:00,grocery:Aldi,"New York, NY",USR-EC-062
EC-000010,15.21,2025-01-01T21:17:00,clothing:Uniqlo,"Miami, FL",USR-EC-047
EC-000011,85.72,2025-01-01T22:37:00,retail:Target,"Chicago, IL",USR-EC-108
EC-000012,94.05,2025-01-01T18:17:00,utilities:T-Mobile,"San Diego, CA",USR-EC-080
EC-000013,51.87,2025-01-01T17:55:00,travel:United Airlines,"Denver, CO",USR-EC-085
EC-000014,97.21,2025-01-01T11:51:00,grocery:Kroger,"Philadelphia, PA",USR-EC-125
EC-000015,26.21,2025-01-01T12:33:00,electronics:Newegg,"New York, NY",USR-EC-016
EC-000016,74.09,2025-01-01T11:16:00,grocery:Aldi,"Seattle, WA",USR-EC-106
EC-000017,27.29,2025-01-01T07:50:00,healthcare:Urgent Care,"Dallas, TX",USR-EC-119
EC-000018,75.7,2025-01-01T19:55:00,grocery:Safeway,"Dallas, TX",USR-EC-036
EC-000019,71.88,2025-01-01T18:46:00,gas:ExxonMobil,"Boston, MA",USR-EC-042
EC-000020,109.33,2025-01-01T06:08:00,entertainment:Disney+,"New York, NY",USR-EC-072
EC-000021,61.7,2025-01-01T13:02:00,utilities:AT&T,"Atlanta, GA",USR-EC-049
EC-000022,45.42,2025-01-01T20:07:00,clothing:Zara,"Boston, MA",USR-EC-052
EC-000023,68.4,2025-01-01T14:55:00,retail:Amazon,"New York, NY",USR-EC-144
EC-000024,46.71,2025-01-01T14:55:00,restaurant:Olive Garden,"Seattle, WA",USR-EC-055
EC-000025,94.57,2025-01-01T07:28:00,entertainment:Disney+,"Philadelphia, PA",USR-EC-081
EC-000026,106.56,2025-01-01T22:21:00,utilities:AT&T,"Dallas, TX",USR-EC-067
EC-000027,31.4,2025-01-02T10:38:00,restaurant:Subway,"Boston, MA",USR-EC-147
EC-000028,69.01,2025-01-02T09:44:00,travel:United Airlines,"Philadelphia, PA",USR-EC-065
EC-000029,43.32,2025-01-02T08:41:00,entertainment:AMC Theaters,"Houston, TX",USR-EC-024
EC-000030,54.18,2025-01-02T07:35:00,healthcare:Dental Office,"Phoenix, AZ",USR-EC-142
EC-000031,27.09,2025-01-02T16:54:00,clothing:Zara,"Los Angeles, CA",USR-EC-107
EC-000032,83.89,2025-01-02T09:57:00,utilities:Water Dept,"Dallas, TX",USR-EC-029
EC-000033,27.62,2025-01-02T10:52:00,entertainment:Steam,"Chicago, IL",USR-EC-138
EC-000034,45.68,2025-01-02T09:47:00,travel:Expedia,"Dallas, TX",USR-EC-035
EC-000035,90.54,2025-01-02T09:11:00,gas:Shell,"New York, NY",USR-EC-109
