transaction_id,amount,timestamp,merchant_category,location,user_id
BK-WIRE-000001,1862.51,2025-09-01T02:00:23.083564,wire_transfer,"San Antonio, TX",USR-BK-001
BK-WIRE-000002,4183.26,2025-10-10T22:44:17.711949,check_deposit,"San Antonio, TX",USR-BK-070
BK-WIRE-000003,3319.28,2025-11-19T05:54:41.511661,ach_payment,"San Antonio, TX",USR-BK-044
BK-WIRE-000004,8482.82,2025-05-20T13:41:44.373920,check_deposit,"New York, NY",USR-BK-042
BK-WIRE-000005,9520.91,2025-07-15T18:58:56.263126,check_deposit,"Dallas, TX",USR-BK-034
BK-WIRE-000006,7811.67,2025-06-09T22:11:43.615624,atm_withdrawal,"Chicago, IL",USR-BK-032
BK-WIRE-000007,1345.29,2025-11-20T14:56:42.792920,direct_deposit,"Philadelphia, PA",USR-BK-044
BK-WIRE-000008,5391.04,2025-06-02T04:04:29.524809,check_deposit,"Philadelphia, PA",USR-BK-070
BK-WIRE-000009,7155.36,2025-06-07T20:53:11.247822,direct_deposit,"Dallas, TX",USR-BK-011
BK-WIRE-000010,3976.3,2025-09-26T14:32:42.271393,atm_withdrawal,"New York, NY",USR-BK-073
BK-WIRE-000011,5368.21,2025-10-12T06:47:13.036232,ach_payment,"Phoenix, AZ",USR-BK-012
BK-WIRE-000012,1833.63,2025-10-03T03:42:29.958512,wire_transfer,"Phoenix, AZ",USR-BK-029
BK-WIRE-000013,1569.74,2025-04-17T08:07:01.008293,wire_transfer,"Los Angeles, CA",USR-BK-029
BK-WIRE-000014,4579.23,2025-03-08T10:42:34.253927,direct_deposit,"Dallas, TX",USR-BK-057
BK-WIRE-000015,1472.3,2025-04-14T18:02:43.296639,atm_withdrawal,"San Antonio, TX",USR-BK-064
BK-WIRE-000016,6910.59,2025-09-30T10:20:06.365491,ach_payment,"Philadelphia, PA",USR-BK-062
BK-WIRE-000017,7061.33,2025-10-15T04:38:07.796460,wire_transfer,"Austin, TX",USR-BK-069
BK-WIRE-000018,2483.42,2025-08-22T01:47:58.123034,ach_payment,"New York, NY",USR-BK-029
BK-WIRE-000019,5877.44,2025-09-04T03:17:38.625709,check_deposit,"Chicago, IL",USR-BK-050
BK-WIRE-000020,3663.1,2025-10-10T22:42:05.773842,wire_transfer,"Phoenix, AZ",USR-BK-050
BK-WIRE-000021,3487.56,2025-05-19T10:17:56.414402,wire_transfer,"Chicago, IL",USR-BK-035
BK-WIRE-000022,6256.84,2025-08-27T05:45:53.326060,check_deposit,"Austin, TX",USR-BK-043
BK-WIRE-000023,3398.33,2025-07-21T07:23:54.291017,direct_deposit,"Houston, TX",USR-BK-003
BK-WIRE-000024,7083.12,2025-02-26T13:20:41.652627,ach_payment,"New York, NY",USR-BK-039
BK-WIRE-000025,11687.95,2025-06-17T20:26:07.366462,direct_deposit,"San Antonio, TX",USR-BK-038
BK-WIRE-000026,2752.18,2025-10-21T09:39:46.766987,ach_payment,"San Diego, CA",USR-BK-043
BK-WIRE-000027,13928.53,2025-05-12T09:26:12.774682,direct_deposit,"Los Angeles, CA",USR-BK-056
BK-WIRE-000028,6392.04,2025-08-29T21:22:27.300404,direct_deposit,"Chicago, IL",USR-BK-068
BK-WIRE-000029,6863.6,2025-08-05T03:21:29.461495,direct_deposit,"San Diego, CA",USR-BK-069
BK-WIRE-000030,2490.25,2025-10-13T04:46:32.784807,check_deposit,"San Diego, CA",USR-BK-058
BK-WIRE-000031,100,2025-03-10T01:54:47.493011,atm_withdrawal,"Austin, TX",USR-BK-065
BK-WIRE-000032,5176.07,2025-11-23T13:12:29.740928,atm_withdrawal,"Houston, TX",USR-BK-017
BK-WIRE-000033,4561.84,2025-11-12T22:39:17.498020,check_deposit,"Dallas, TX",USR-BK-008
BK-WIRE-000034,8256.33,2025-11-17T10:03:07.692966,direct_deposit,"Los Angeles, CA",USR-BK-063
BK-WIRE-000035,4180.29,2025-09-18T00:22:53.119049,ach_payment,"Chicago, IL",USR-BK-006
BK-WIRE-000036,3656.0,2025-05-22T19:07:46.716379,wire_transfer,"Dallas, TX",USR-BK-055
BK-WIRE-000037,923.09,2025-04-05T00:40:46.551380,wire_transfer,"Philadelphia, PA",USR-BK-030
BK-WIRE-000038,3614.21,2025-07-27T20:28:07.666014,ach_payment,"Los Angeles, CA",USR-BK-080
BK-WIRE-000039,2736.95,2025-06-08T04:48:42.019768,atm_withdrawal,"Philadelphia, PA",USR-BK-014
BK-WIRE-000040,5894.04,2025-04-01T07:47:20.367137,ach_payment,"San Diego, CA",USR-BK-073
BK-WIRE-000041,10253.32,2025-11-29T12:21:19.256559,ach_payment,"Houston, TX",USR-BK-015
BK-WIRE-000042,5653.63,2025-03-14T19:00:37.373077,atm_withdrawal,"New York, NY",USR-BK-046
BK-WIRE-000043,2561.47,2025-04-27T04:55:15.128011,atm_withdrawal,"New York, NY",USR-BK-035
BK-WIRE-000044,7015.8,2025-04-03T20:56:29.729063,wire_transfer,"Chicago, IL",USR-BK-046
BK-WIRE-000045,9439.03,2025-06-25T00:31:05.446818,wire_transfer,"San Antonio, TX",USR-BK-060
BK-WIRE-000046,3974.26,2025-09-11T17:20:51.497007,wire_transfer,"Chicago, IL",USR-BK-055
BK-WIRE-000047,9692.79,2025-09-25T08:12:53.856163,wire_transfer,"Houston, TX",USR-BK-027
BK-WIRE-000048,3018.26,2025-08-13T22:57:09.089063,ach_payment,"Dallas, TX",USR-BK-056
BK-WIRE-000049,6417.89,2025-07-17T20:07:28.927812,check_deposit,"Dallas, TX",USR-BK-042
BK-WIRE-000050,712.83,2025-05-01T06:50:33.473851,ach_payment,"San Diego, CA",USR-BK-004
BK-WIRE-000051,10797.65,2025-11-01T23:37:25.391148,atm_withdrawal,"Houston, TX",USR-BK-048
BK-WIRE-000052,6480.89,2025-09-07T13:52:24.192909,check_deposit,"Chicago, IL",USR-BK-076
BK-WIRE-000053,6234.68,2025-06-08T17:46:06.153510,check_deposit,"Los Angeles, CA",USR-BK-059
BK-WIRE-000054,8479.28,2025-07-06T08:25:16.363962,check_deposit,"Houston, TX",USR-BK-062
BK-WIRE-000055,5502.67,2025-05-16T03:26:14.299586,direct_deposit,"Chicago, IL",USR-BK-080
BK-WIRE-000056,1589.44,2025-09-05T03:53:13.407764,atm_withdrawal,"Chicago, IL",USR-BK-069
BK-WIRE-000057,9189.32,2025-09-06T01:34:11.871430,ach_payment,"Los Angeles, CA",USR-BK-035
BK-WIRE-000058,6191.28,2025-06-16T11:31:43.285657,atm_withdrawal,"Austin, TX",USR-BK-055
BK-WIRE-000059,4846.77,2025-02-10T15:44:57.898723,ach_payment,"Austin, TX",USR-BK-080
BK-WIRE-000060,7691.76,2025-05-06T20:56:52.354310,atm_withdrawal,"San Diego, CA",USR-BK-047
BK-WIRE-000061,4276.21,2025-08-03T21:32:18.973702,ach_payment,"New York, NY",USR-BK-020
BK-WIRE-000062,4228.79,2025-05-18T15:53:13.940505,wire_transfer,"San Diego, CA",USR-BK-051
BK-WIRE-000063,1062.95,2025-11-25T18:31:37.611631,direct_deposit,"Austin, TX",USR-BK-051
BK-WIRE-000064,8847.61,2025-03-16T02:50:07.286665,direct_deposit,"San Diego, CA",USR-BK-047
BK-WIRE-000065,3730.58,2025-03-03T01:57:40.903513,wire_transfer,"San Diego, CA",USR-BK-051
BK-WIRE-000066,2940.59,2025-03-31T11:06:07.932948,wire_transfer,"Philadelphia, PA",USR-BK-011
BK-WIRE-000067,4799.21,2025-03-24T13:26:22.856563,wire_transfer,"Dallas, TX",USR-BK-061
BK-WIRE-000068,5297.14,2025-04-27T02:03:28.018580,ach_payment,"Dallas, TX",USR-BK-058
BK-WIRE-000069,2529.33,2025-05-11T23:14:13.308117,atm_withdrawal,"Philadelphia, PA",USR-BK-067
BK-WIRE-000070,6056.22,2025-11-13T04:27:47.982027,direct_deposit,"Los Angeles, CA",USR-BK-006
BK-WIRE-000071,6543.65,2025-04-19T15:00:30.825425,wire_transfer,"Philadelphia, PA",USR-BK-045
BK-WIRE-000072,5874.12,2025-11-09T08:00:06.509756,atm_withdrawal,"San Diego, CA",USR-BK-011
BK-WIRE-000073,8650.46,2025-04-22T03:41:06.613008,check_deposit,"Austin, TX",USR-BK-010
BK-WIRE-000074,7819.41,2025-05-23T07:45:34.345375,atm_withdrawal,"Austin, TX",USR-BK-048
BK-WIRE-000075,7492.72,2025-08-14T01:03:31.856736,atm_withdrawal,"Phoenix, AZ",USR-BK-002
BK-WIRE-000076,6070.59,2025-02-16T06:34:29.019644,direct_deposit,"Los Angeles, CA",USR-BK-022
BK-WIRE-000077,3739.76,2025-09-18T06:05:28.365768,atm_withdrawal,"San Diego, CA",USR-BK-041
BK-WIRE-000078,3764.64,2025-05-01T20:07:37.522710,ach_payment,"Los Angeles, CA",USR-BK-020
BK-WIRE-000079,4614.17,2025-08-07T00:58:47.134843,check_deposit,"San Diego, CA",USR-BK-020
BK-WIRE-000080,4760.66,2025-08-18T09:54:33.745242,wire_transfer,"Dallas, TX",USR-BK-012
BK-WIRE-000081,3676.56,2025-07-27T12:56:53.219590,ach_payment,"Houston, TX",USR-BK-069
BK-WIRE-000082,3041.63,2025-04-23T05:15:42.367866,atm_withdrawal,"Philadelphia, PA",USR-BK-054
BK-WIRE-000083,4656.11,2025-02-18T14:36:33.581058,check_deposit,"Chicago, IL",USR-BK-069
BK-WIRE-000084,4641.7,2025-07-26T06:06:53.719300,direct_deposit,"New York, NY",USR-BK-004
BK-WIRE-000085,9714.47,2025-07-04T13:42:24.136787,wire_transfer,"Austin, TX",USR-BK-049
BK-WIRE-000086,3767.57,2025-03-26T04:15:21.261918,direct_deposit,"San Diego, CA",USR-BK-001
BK-WIRE-000087,3307.13,2025-07-08T18:43:02.717208,atm_withdrawal,"Austin, TX",USR-BK-068
