transaction_id,amount,timestamp,merchant_category,location,user_id
SUB-000001,11.99,2025-01-21T06:00:00,subscription:VPN,"San Antonio, TX",USR-SUB-001
SUB-000002,15.49,2025-01-05T20:00:00,subscription:Netflix,"Phoenix, AZ",USR-SUB-001
SUB-000003,9.99,2025-01-10T11:00:00,subscription:Spotify,"New York, NY",USR-SUB-001
SUB-000004,12.99,2025-01-11T04:00:00,subscription:News,"Houston, TX",USR-SUB-001
SUB-000005,54.99,2025-01-04T07:00:00,subscription:Adobe CC,"Dallas, TX",USR-SUB-002
SUB-000006,11.99,2025-01-20T22:00:00,subscription:VPN,"San Antonio, TX",USR-SUB-002
SUB-000007,79.99,2025-01-09T15:00:00,subscription:Meal Kit,"Philadelphia, PA",USR-SUB-003
SUB-000008,9.99,2025-01-05T00:00:00,subscription:Cloud Storage,"Phoenix, AZ",USR-SUB-003
SUB-000009,49.99,2025-01-26T10:00:00,subscription:Gym,"Chicago, IL",USR-SUB-003
SUB-000010,9.99,2025-01-24T22:00:00,subscription:Spotify,"Los Angeles, CA",USR-SUB-004
SUB-000011,54.99,2025-01-24T14:00:00,subscription:Adobe CC,"Austin, TX",USR-SUB-004
SUB-000012,11.99,2025-01-23T02:00:00,subscription:VPN,"Philadelphia, PA",USR-SUB-004
SUB-000013,49.99,2025-01-22T06:00:00,subscription:Gym,"Los Angeles, CA",USR-SUB-004
SUB-000014,12.99,2025-01-08T23:00:00,subscription:News,"Phoenix, AZ",USR-SUB-004
SUB-000015,15.49,2025-01-24T16:00:00,subscription:Netflix,"Austin, TX",USR-SUB-005
SUB-000016,12.99,2025-01-15T09:00:00,subscription:News,"Austin, TX",USR-SUB-005
SUB-000017,49.99,2025-01-01T23:00:00,subscription:Gym,"San Antonio, TX",USR-SUB-005
SUB-000018,54.99,2025-01-21T12:00:00,subscription:Adobe CC,"Houston, TX",USR-SUB-005
SUB-000019,9.99,2025-01-26T20:00:00,subscription:Cloud Storage,"Chicago, IL",USR-SUB-006
SUB-000020,15.49,2025-01-21T03:00:00,subscription:Netflix,"Philadelphia, PA",USR-SUB-006
SUB-000021,11.99,2025-01-11T23:00:00,subscription:VPN,"Phoenix, AZ",USR-SUB-006
SUB-000022,49.99,2025-01-16T03:00:00,subscription:Gym,"Philadelphia, PA",USR-SUB-007
SUB-000023,9.99,2025-01-12T08:00:00,subscription:Cloud Storage,"San Diego, CA",USR-SUB-007
SUB-000024,79.99,2025-01-23T13:00:00,subscription:Meal Kit,"Dallas, TX",USR-SUB-007
SUB-000025,54.99,2025-01-21T22:00:00,subscription:Adobe CC,"Chicago, IL",USR-SUB-007
SUB-000026,12.99,2025-01-09T10:00:00,subscription:News,"New York, NY",USR-SUB-008
SUB-000027,15.49,2025-01-16T22:00:00,subscription:Netflix,"Los Angeles, CA",USR-SUB-008
SUB-000028,11.99,2025-01-17T18:00:00,subscription:VPN,"Austin, TX",USR-SUB-009
SUB-000029,9.99,2025-01-08T02:00:00,subscription:Spotify,"Philadelphia, PA",USR-SUB-009
SUB-000030,9.99,2025-01-08T23:00:00,subscription:Cloud Storage,"Los Angeles, CA",USR-SUB-009
SUB-000031,15.49,2025-01-24T11:00:00,subscription:Netflix,"San Diego, CA",USR-SUB-009
SUB-000032,12.99,2025-01-04T06:00:00,subscription:News,"San Diego, CA",USR-SUB-009
SUB-000033,15.49,2025-01-10T08:00:00,subscription:Netflix,"Phoenix, AZ",USR-SUB-010
SUB-000034,9.99,2025-01-13T03:00:00,subscription:Cloud Storage,"New York, NY",USR-SUB-010
SUB-000035,11.99,2025-01-04T23:00:00,subscription:VPN,"New York, NY",USR-SUB-010
SUB-000036,49.99,2025-01-24T13:00:00,subscription:Gym,"Dallas, TX",USR-SUB-010
SUB-000037,54.99,2025-01-02T02:00:00,subscription:Adobe CC,"Los Angeles, CA",USR-SUB-010
SUB-000038,11.99,2025-01-12T16:00:00,subscription:VPN,"Chicago, IL",USR-SUB-011
SUB-000039,79.99,2025-01-28T08:00:00,subscription:Meal Kit,"New York, NY",USR-SUB-011
SUB-000040,12.99,2025-01-11T17:00:00,subscription:News,"Chicago, IL",USR-SUB-011
SUB-000041,54.99,2025-01-21T09:00:00,subscription:Adobe CC,"New York, NY",USR-SUB-011
SUB-000042,15.49,2025-01-14T01:00:00,subscription:Netflix,"Dallas, TX",USR-SUB-011
SUB-000043,79.99,2025-01-11T00:00:00,subscription:Meal Kit,"Houston, TX",USR-SUB-012
SUB-000044,9.99,2025-01-07T21:00:00,subscription:Spotify,"Houston, TX",USR-SUB-012
SUB-000045,11.99,2025-01-21T21:00:00,subscription:VPN,"Phoenix, AZ",USR-SUB-012
SUB-000046,49.99,2025-01-07T10:00:00,subscription:Gym,"Los Angeles, CA",USR-SUB-012
SUB-000047,54.99,2025-01-16T08:00:00,subscription:Adobe CC,"New York, NY",USR-SUB-013
SUB-000048,15.49,2025-01-09T04:00:00,subscription:Netflix,"New York, NY",USR-SUB-013
SUB-000049,145.28,2025-01-02T11:00:00,subscription:VPN,"Dallas, TX",USR-SUB-014
SUB-000050,15.49,2025-01-28T21:00:00,subscription:Netflix,"Los Angeles, CA",USR-SUB-014
SUB-000051,49.99,2025-01-11T09:00:00,subscription:Gym,"Houston, TX",USR-SUB-015
SUB-000052,9.99,2025-01-02T08:00:00,subscription:Spotify,"San Diego, CA",USR-SUB-015
SUB-000053,12.99,2025-01-11T08:00:00,subscription:News,"Dallas, TX",USR-SUB-015
SUB-000054,11.99,2025-01-25T00:00:00,subscription:VPN,"Chicago, IL",USR-SUB-015
SUB-000055,11.99,2025-01-11T14:00:00,subscription:VPN,"New York, NY",USR-SUB-016
SUB-000056,79.99,2025-01-02T20:00:00,subscription:Meal Kit,"Philadelphia, PA",USR-SUB-016
SUB-000057,9.99,2025-01-06T11:00:00,subscription:Cloud Storage,"San Antonio, TX",USR-SUB-016
SUB-000058,54.99,2025-01-09T10:00:00,subscription:Adobe CC,"Phoenix, AZ",USR-SUB-016
SUB-000059,15.49,2025-01-03T00:00:00,subscription:Netflix,"Los Angeles, CA",USR-SUB-016
SUB-000060,9.99,2025-01-08T18:00:00,subscription:Spotify,"Chicago, IL",USR-SUB-017
SUB-000061,79.99,2025-01-11T22:00:00,subscription:Meal Kit,"San Antonio, TX",USR-SUB-017
SUB-000062,9.99,2025-01-17T11:00:00,subscription:Cloud Storage,"Houston, TX",USR-SUB-017
SUB-000063,15.49,2025-01-18T14:00:00,subscription:Netflix,"Austin, TX",USR-SUB-017
SUB-000064,15.49,2025-01-08T17:00:00,subscription:Netflix,"Philadelphia, PA",USR-SUB-018
SUB-000065,54.99,2025-01-28T08:00:00,subscription:Adobe CC,"Phoenix, AZ",USR-SUB-018
