transaction_id,amount,timestamp,merchant_category,location,user_id
BIZ-000001,119.71,2025-07-03T18:58:05.302985,business_expense:Microsoft,"Los Angeles, CA",EMP-015
BIZ-000002,498.51,2025-10-02T09:36:31.531021,business_expense:Office Depot,"New York, NY",EMP-021
BIZ-000003,402.16,2025-02-15T15:12:23.628952,business_expense:Amazon Business,"Los Angeles, CA",EMP-025
BIZ-000004,531.21,2025-08-15T16:48:38.932105,business_expense:Adobe,"Chicago, IL",EMP-006
BIZ-000005,227.17,2025-01-18T08:03:28.548721,business_expense:Office Depot,"Houston, TX",EMP-025
BIZ-000006,337.83,2025-10-29T03:38:27.324792,business_expense:Adobe,"Los Angeles, CA",EMP-011
BIZ-000007,581.6,2025-09-22T23:29:43.678756,business_expense:Salesforce,"New York, NY",EMP-029
BIZ-000008,537.93,2025-05-17T19:48:48.937542,business_expense:Grainger,"Phoenix, AZ",EMP-028
BIZ-000009,18.25,2025-07-25T01:15:01.511358,business_expense:Amazon Business,"New York, NY",EMP-012
BIZ-000010,486.45,2025-05-21T15:04:37.584413,business_expense:UPS,"Chicago, IL",EMP-029
BIZ-000011,278.83,2025-02-19T16:02:50.347959,business_expense:Amazon Business,"Chicago, IL",EMP-001
BIZ-000012,535.06,2025-02-14T22:26:22.099834,business_expense:Staples,"Phoenix, AZ",EMP-008
BIZ-000013,1049.64,2025-01-07T02:57:25.947134,business_expense:Amazon Business,"Houston, TX",EMP-029
BIZ-000014,576.68,2025-10-30T02:58:28.241693,business_expense:Microsoft,"Los Angeles, CA",EMP-017
BIZ-000015,456.48,2025-12-26T09:42:53.077004,business_expense:Microsoft,"Chicago, IL",EMP-007
BIZ-000016,576.84,2025-10-07T01:02:41.186404,business_expense:Office Depot,"Los Angeles, CA",EMP-015
BIZ-000017,654.05,2025-08-07T12:08:24.374673,business_expense:Amazon Business,"Chicago, IL",EMP-025
BIZ-000018,242.88,2025-03-16T11:06:25.040925,business_expense:Salesforce,"Houston, TX",EMP-015
BIZ-000019,293.21,2025-01-20T07:13:01.253421,business_expense:UPS,"Chicago, IL",EMP-016
BIZ-000020,677.55,2025-05-26T21:46:28.740439,business_expense:Office Depot,"Houston, TX",EMP-030
BIZ-000021,869.34,2025-04-08T15:34:01.562851,business_expense:Adobe,"Houston, TX",EMP-022
BIZ-000022,377.49,2025-07-12T17:09:47.941394,business_expense:Amazon Business,"Houston, TX",EMP-012
BIZ-000023,745.59,2025-10-13T12:38:28.035874,business_expense:Salesforce,"New York, NY",EMP-004
BIZ-000024,826.46,2025-09-24T20:40:34.229813,business_expense:FedEx,"Phoenix, AZ",EMP-011
BIZ-000025,485.85,2025-07-26T13:08:04.972627,business_expense:FedEx,"Chicago, IL",EMP-012
BIZ-000026,565.91,2025-05-08T09:41:02.477471,business_expense:Staples,"New York, NY",EMP-025
BIZ-000027,256.38,2025-11-20T07:27:29.826238,business_expense:Office Depot,"New York, NY",EMP-020
BIZ-000028,535.48,2025-02-15T11:41:46.980817,business_expense:Staples,"Chicago, IL",EMP-008
BIZ-000029,425.55,2025-12-17T20:11:49.176934,business_expense:WeWork,"Chicago, IL",EMP-010
BIZ-000030,1052.02,2025-07-01T09:17:50.435756,business_expense:Salesforce,"Chicago, IL",EMP-029
BIZ-000031,210.79,2025-01-06T20:45:09.097728,business_expense:WeWork,"Phoenix, AZ",EMP-023
BIZ-000032,647.04,2025-05-21T23:10:07.879875,business_expense:FedEx,"New York, NY",EMP-030
BIZ-000033,10,2025-11-28T18:40:10.475255,business_expense:Staples,"Chicago, IL",EMP-029
BIZ-000034,489.68,2025-12-30T05:24:31.085561,business_expense:Staples,"Phoenix, AZ",EMP-011
BIZ-000035,485.66,2025-08-25T20:32:06.137533,business_expense:Adobe,"New York, NY",EMP-029
BIZ-000036,524.14,2025-01-20T23:23:58.758145,business_expense:Office Depot,"Phoenix, AZ",EMP-012
BIZ-000037,518.28,2025-12-15T16:36:31.197332,business_expense:Staples,"New York, NY",EMP-003
BIZ-000038,344.19,2025-07-13T16:12:25.238937,business_expense:Adobe,"Houston, TX",EMP-014
BIZ-000039,495.17,2025-01-01T15:05:31.691128,business_expense:Office Depot,"Los Angeles, CA",EMP-027
BIZ-000040,35.1,2025-11-04T13:19:43.133227,business_expense:UPS,"Phoenix, AZ",EMP-020
BIZ-000041,827.55,2025-08-26T23:21:53.754263,business_expense:Salesforce,"Houston, TX",EMP-015
BIZ-000042,423.15,2025-08-24T07:20:26.325677,business_expense:Office Depot,"Los Angeles, CA",EMP-021
BIZ-000043,166.07,2025-05-02T01:59:09.162201,business_expense:Salesforce,"Houston, TX",EMP-018
BIZ-000044,262.53,2025-12-05T18:59:44.416956,business_expense:Office Depot,"New York, NY",EMP-010
BIZ-000045,99.05,2025-06-12T20:03:08.718398,business_expense:Adobe,"Chicago, IL",EMP-013
BIZ-000046,64.76,2025-06-05T03:50:28.489111,business_expense:Salesforce,"Houston, TX",EMP-013
BIZ-000047,518.22,2025-08-19T16:28:57.598981,business_expense:Office Depot,"Houston, TX",EMP-027
BIZ-000048,331.41,2025-07-18T12:41:35.937047,business_expense:Amazon Business,"Houston, TX",EMP-022
BIZ-000049,336.67,2025-05-12T12:58:15.717932,business_expense:FedEx,"Chicago, IL",EMP-015
BIZ-000050,10,2025-02-09T03:48:33.272531,business_expense:Adobe,"New York, NY",EMP-022
BIZ-000051,457.32,2025-08-25T22:21:31.791688,business_expense:Staples,"Phoenix, AZ",EMP-023
BIZ-000052,386.94,2025-08-22T13:39:10.197698,business_expense:Microsoft,"New York, NY",EMP-011
BIZ-000053,457.26,2025-12-13T17:42:45.946709,business_expense:Grainger,"Chicago, IL",EMP-008
BIZ-000054,335.89,2025-05-27T08:34:48.242052,business_expense:Office Depot,"Chicago, IL",EMP-023
BIZ-000055,279.76,2025-07-25T21:57:53.370917,business_expense:Amazon Business,"Los Angeles, CA",EMP-027
BIZ-000056,84.23,2025-09-15T22:17:41.642456,business_expense:Amazon Business,"Houston, TX",EMP-021
BIZ-000057,394.62,2025-04-07T06:33:28.807989,business_expense:Staples,"Houston, TX",EMP-010
BIZ-000058,186.47,2025-01-12T16:59:29.776262,business_expense:Amazon Business,"Houston, TX",EMP-013
BIZ-000059,285.42,2025-04-13T21:04:12.654332,business_expense:Office Depot,"Phoenix, AZ",EMP-002
BIZ-000060,688.5,2025-06-11T07:18:45.478400,business_expense:Grainger,"Houston, TX",EMP-028
BIZ-000061,216.73,2025-08-25T04:37:40.680601,business_expense:Adobe,"Chicago, IL",EMP-018
BIZ-000062,369.39,2025-10-19T19:07:34.168105,business_expense:WeWork,"Houston, TX",EMP-007
BIZ-000063,215.78,2025-08-23T01:07:59.164542,business_expense:Amazon Business,"Houston, TX",EMP-023
