transaction_id,amount,timestamp,merchant_category,location,user_id
CRYPTO-000001,70.11,2025-04-13T07:17:05.420195,crypto_trade:DOGE,"Sydney, AU",USR-CR-193
CRYPTO-000002,67.61,2025-08-05T03:10:52.185146,crypto_trade:AVAX,"Toronto, CA",USR-CR-279
CRYPTO-000003,137.15,2025-07-26T09:43:41.245282,crypto_trade:XRP,"Dallas, TX",USR-CR-271
CRYPTO-000004,123.13,2025-08-28T09:41:50.867436,crypto_trade:ETH,"Toronto, CA",USR-CR-248
CRYPTO-000005,2539.95,2025-04-06T12:45:44.233646,crypto_trade:BTC,"Los Angeles, CA",USR-CR-279
CRYPTO-000006,629.66,2025-10-16T09:37:35.077635,crypto_trade:SOL,"Houston, TX",USR-CR-260
CRYPTO-000007,778.29,2025-08-09T02:18:05.757725,crypto_trade:DOGE,"Denver, CO",USR-CR-047
CRYPTO-000008,31.54,2025-05-12T09:46:14.415402,crypto_trade:SOL,"San Francisco, CA",USR-CR-148
CRYPTO-000009,97.04,2025-09-20T03:11:29.409913,crypto_trade:XRP,"Atlanta, GA",USR-CR-046
CRYPTO-000010,26.37,2025-07-04T15:50:34.709804,crypto_trade:DOGE,"Denver, CO",USR-CR-154
CRYPTO-000011,10.73,2025-10-20T17:07:26.998731,crypto_trade:AVAX,"Tokyo, JP",USR-CR-048
CRYPTO-000012,966.93,2025-05-05T00:47:19.834592,crypto_trade:ADA,"New York, NY",USR-CR-073
CRYPTO-000013,35.65,2025-04-11T03:51:59.979311,crypto_trade:AVAX,"Seattle, WA",USR-CR-168
CRYPTO-000014,48.89,2025-07-26T19:55:52.765286,crypto_trade:ETH,"Seattle, WA",USR-CR-113
CRYPTO-000015,2013.31,2025-04-23T09:43:56.213481,crypto_trade:XRP,"Las Vegas, NV",USR-CR-118
CRYPTO-000016,43.67,2025-05-14T01:48:59.105782,crypto_trade:ADA,"Philadelphia, PA",USR-CR-263
CRYPTO-000017,206.43,2025-10-08T16:24:47.091475,crypto_trade:XRP,"Boston, MA",USR-CR-040
CRYPTO-000018,168.48,2025-08-06T13:11:49.388928,crypto_trade:XRP,"Atlanta, GA",USR-CR-108
CRYPTO-000019,94.08,2025-05-15T11:45:23.607839,crypto_trade:DOT,"Portland, OR",USR-CR-118
CRYPTO-000020,171.89,2025-04-01T06:35:14.120403,crypto_trade:DOGE,"Denver, CO",USR-CR-278
CRYPTO-000021,5.27,2025-09-15T13:46:59.867485,crypto_trade:DOT,"Dallas, TX",USR-CR-227
CRYPTO-000022,414.69,2025-07-30T14:56:44.113510,crypto_trade:BTC,"Chicago, IL",USR-CR-214
CRYPTO-000023,60.2,2025-05-05T04:44:16.418268,crypto_trade:BTC,"Philadelphia, PA",USR-CR-037
CRYPTO-000024,116.75,2025-06-28T07:43:03.902440,crypto_trade:ADA,"Chicago, IL",USR-CR-041
CRYPTO-000025,186.82,2025-09-28T06:31:15.453137,crypto_trade:BTC,"Nashville, TN",USR-CR-075
CRYPTO-000026,1412.52,2025-10-11T03:08:18.640204,crypto_trade:DOT,"New York, NY",USR-CR-156
CRYPTO-000027,186.31,2025-10-21T23:31:40.675957,crypto_trade:DOGE,"New York, NY",USR-CR-094
CRYPTO-000028,222.75,2025-08-12T16:21:32.091424,crypto_trade:ETH,"Portland, OR",USR-CR-244
CRYPTO-000029,149.43,2025-08-14T12:01:40.518772,crypto_trade:ADA,"Singapore, SG",USR-CR-009
CRYPTO-000030,345.34,2025-05-06T20:25:58.176384,crypto_trade:SOL,"Tokyo, JP",USR-CR-038
CRYPTO-000031,88.54,2025-04-08T02:19:37.823657,crypto_trade:AVAX,"Mexico City, MX",USR-CR-280
CRYPTO-000032,59.22,2025-08-25T20:19:48.431922,crypto_trade:ETH,"Dallas, TX",USR-CR-065
CRYPTO-000033,778.44,2025-10-21T06:44:29.769825,crypto_trade:AVAX,"New York, NY",USR-CR-159
CRYPTO-000034,36.2,2025-08-31T15:11:31.274600,crypto_trade:ADA,"London, UK",USR-CR-248
CRYPTO-000035,119.79,2025-08-01T07:09:12.461536,crypto_trade:ETH,"Boston, MA",USR-CR-175
CRYPTO-000036,146.22,2025-07-01T02:47:13.746481,crypto_trade:ADA,"San Antonio, TX",USR-CR-296
CRYPTO-000037,223.53,2025-07-15T02:57:19.790035,crypto_trade:XRP,"San Francisco, CA",USR-CR-052
CRYPTO-000038,197.32,2025-08-27T13:02:52.249516,crypto_trade:XRP,"Sydney, AU",USR-CR-273
CRYPTO-000039,192.45,2025-09-15T09:38:04.656718,crypto_trade:DOGE,"San Antonio, TX",USR-CR-061
CRYPTO-000040,113.09,2025-06-24T00:59:09.672209,crypto_trade:SOL,"Dubai, UAE",USR-CR-295
CRYPTO-000041,45.83,2025-08-23T03:03:04.819800,crypto_trade:ETH,"New York, NY",USR-CR-284
CRYPTO-000042,143.44,2025-04-25T10:50:46.513222,crypto_trade:SOL,"Detroit, MI",USR-CR-225
CRYPTO-000043,2177.63,2025-09-18T00:26:37.258596,crypto_trade:DOT,"Houston, TX",USR-CR-081
CRYPTO-000044,873.98,2025-06-08T12:55:41.420461,crypto_trade:DOT,"Detroit, MI",USR-CR-026
CRYPTO-000045,180.52,2025-05-26T10:21:35.873462,crypto_trade:ETH,"Chicago, IL",USR-CR-053
CRYPTO-000046,208.03,2025-10-12T14:40:11.388270,crypto_trade:BTC,"Nashville, TN",USR-CR-250
CRYPTO-000047,82.45,2025-10-17T06:46:07.062518,crypto_trade:ETH,"Sydney, AU",USR-CR-254
CRYPTO-000048,46.89,2025-06-16T14:21:29.976983,crypto_trade:ETH,"Toronto, CA",USR-CR-143
CRYPTO-000049,113.01,2025-10-15T10:51:40.716469,crypto_trade:DOT,"San Francisco, CA",USR-CR-017
CRYPTO-000050,275.17,2025-08-26T15:00:42.990279,crypto_trade:SOL,"Los Angeles, CA",USR-CR-175
CRYPTO-000051,82.37,2025-08-11T08:39:29.590840,crypto_trade:SOL,"Los Angeles, CA",USR-CR-054
CRYPTO-000052,69.29,2025-05-06T05:44:49.046590,crypto_trade:ADA,"Phoenix, AZ",USR-CR-241
CRYPTO-000053,492.07,2025-07-27T14:11:07.638711,crypto_trade:SOL,"London, UK",USR-CR-242
CRYPTO-000054,191.22,2025-07-30T16:26:59.030400,crypto_trade:DOGE,"Atlanta, GA",USR-CR-209
CRYPTO-000055,487.57,2025-09-22T16:41:46.505095,crypto_trade:XRP,"Tokyo, JP",USR-CR-234
CRYPTO-000056,185.07,2025-07-23T00:03:50.262615,crypto_trade:XRP,"Philadelphia, PA",USR-CR-197
CRYPTO-000057,526.14,2025-06-21T06:09:47.202676,crypto_trade:SOL,"Toronto, CA",USR-CR-042
CRYPTO-000058,842.8,2025-10-03T09:47:19.390735,crypto_trade:BTC,"Singapore, SG",USR-CR-119
CRYPTO-000059,627.18,2025-05-07T00:09:27.453740,crypto_trade:XRP,"Paris, FR",USR-CR-248
CRYPTO-000060,76.26,2025-10-27T10:33:59.876873,crypto_trade:DOT,"Miami, FL",USR-CR-018
CRYPTO-000061,134.61,2025-07-31T18:18:23.884455,crypto_trade:DOT,"Miami, FL",USR-CR-062
CRYPTO-000062,519.88,2025-05-28T04:56:45.506492,crypto_trade:DOT,"Boston, MA",USR-CR-171
CRYPTO-000063,15.38,2025-06-13T16:02:13.461755,crypto_trade:SOL,"Minneapolis, MN",USR-CR-035
CRYPTO-000064,166.63,2025-09-22T22:15:17.336314,crypto_trade:BTC,"Houston, TX",USR-CR-088
CRYPTO-000065,34.38,2025-10-30T08:56:27.365166,crypto_trade:DOGE,"Houston, TX",USR-CR-093
CRYPTO-000066,60.16,2025-10-27T00:04:41.467784,crypto_trade:DOT,"Berlin, DE",USR-CR-284
CRYPTO-000067,127.68,2025-07-29T05:04:26.620183,crypto_trade:DOT,"New York, NY",USR-CR-146
CRYPTO-000068,170.02,2025-05-27T16:22:43.090321,crypto_trade:ETH,"Nashville, TN",USR-CR-193
CRYPTO-000069,128.36,2025-05-01T11:05:12.460653,crypto_trade:DOGE,"Minneapolis, MN",USR-CR-094
CRYPTO-000070,267.28,2025-07-04T12:15:51.458192,crypto_trade:SOL,"Portland, OR",USR-CR-258
CRYPTO-000071,332.48,2025-08-19T13:48:35.165776,crypto_trade:DOGE,"Las Vegas, NV",USR-CR-114
CRYPTO-000072,235.74,2025-06-14T08:21:47.301740,crypto_trade:ADA,"New York, NY",USR-CR-080
CRYPTO-000073,158.4,2025-07-26T00:20:36.472100,crypto_trade:BTC,"Boston, MA",USR-CR-001
CRYPTO-000074,93.57,2025-08-18T16:07:46.189593,crypto_trade:ADA,"Paris, FR",USR-CR-177
CRYPTO-000075,64.66,2025-06-13T23:54:23.822280,crypto_trade:XRP,"Boston, MA",USR-CR-104
CRYPTO-000076,57.71,2025-07-28T21:22:25.198742,crypto_trade:DOT,"Detroit, MI",USR-CR-045
CRYPTO-000077,89.23,2025-04-25T14:43:43.141175,crypto_trade:BTC,"London, UK",USR-CR-224
CRYPTO-000078,332.54,2025-09-18T09:15:58.807431,crypto_trade:AVAX,"New York, NY",USR-CR-283
CRYPTO-000079,15.9,2025-08-04T22:01:47.473620,crypto_trade:SOL,"Minneapolis, MN",USR-CR-155
CRYPTO-000080,37.82,2025-07-27T11:58:40.315091,crypto_trade:DOT,"New York, NY",USR-CR-119
CRYPTO-000081,111.34,2025-04-25T06:26:12.516413,crypto_trade:DOGE,"San Francisco, CA",USR-CR-131
CRYPTO-000082,147.11,2025-05-08T02:44:35.457624,crypto_trade:AVAX,"Berlin, DE",USR-CR-132
CRYPTO-000083,1176.98,2025-05-05T10:51:48.175158,crypto_trade:DOT,"Paris, FR",USR-CR-063
