transaction_id,amount,timestamp,merchant_category,location,user_id
INS-CLAIM-000001,7127.13,2025-02-02T18:02:28.564664,insurance_claim:liability,"Singapore, SG",USR-INS-296
INS-CLAIM-000002,6607.88,2025-06-28T18:27:59.326624,insurance_claim:home_damage,"Austin, TX",USR-INS-363
INS-CLAIM-000003,2249.84,2025-06-30T12:19:10.722352,insurance_claim:auto_collision,"Singapore, SG",USR-INS-304
INS-CLAIM-000004,1895.65,2025-08-15T02:29:13.188705,insurance_claim:medical,"Toronto, CA",USR-INS-074
INS-CLAIM-000005,3121.85,2025-06-21T05:57:54.946944,insurance_claim:auto_collision,"Boston, MA",USR-INS-253
INS-CLAIM-000006,1267.53,2025-06-22T16:27:06.086760,insurance_claim:medical,"San Diego, CA",USR-INS-341
INS-CLAIM-000007,5617.31,2025-01-28T08:57:11.614410,insurance_claim:auto_collision,"Singapore, SG",USR-INS-059
INS-CLAIM-000008,4842.97,2025-05-01T21:29:15.192724,insurance_claim:liability,"Boston, MA",USR-INS-352
INS-CLAIM-000009,2791.07,2025-08-12T15:34:27.772197,insurance_claim:medical,"Denver, CO",USR-INS-040
INS-CLAIM-000010,1615.29,2025-03-26T23:53:43.079293,insurance_claim:medical,"San Diego, CA",USR-INS-230
INS-CLAIM-000011,942.39,2025-10-03T15:42:48.357390,insurance_claim:property_loss,"Las Vegas, NV",USR-INS-281
INS-CLAIM-000012,16093.64,2025-06-22T21:58:57.346020,insurance_claim:home_damage,"Houston, TX",USR-INS-434
INS-CLAIM-000013,7650.53,2025-09-18T10:24:11.455784,insurance_claim:liability,"London, UK",USR-INS-272
INS-CLAIM-000014,11339.94,2025-10-29T17:32:01.979059,insurance_claim:home_damage,"Los Angeles, CA",USR-INS-086
INS-CLAIM-000015,6240.64,2025-06-02T16:20:01.021907,insurance_claim:home_damage,"Boston, MA",USR-INS-102
INS-CLAIM-000016,1881.43,2025-05-02T02:00:47.842432,insurance_claim:medical,"Minneapolis, MN",USR-INS-207
INS-CLAIM-000017,7065.07,2025-05-05T12:11:37.056996,insurance_claim:home_damage,"Portland, OR",USR-INS-415
INS-CLAIM-000018,1568.97,2025-12-27T13:00:05.478713,insurance_claim:auto_collision,"Austin, TX",USR-INS-404
INS-CLAIM-000019,3526.2,2025-01-27T18:10:16.745819,insurance_claim:liability,"Chicago, IL",USR-INS-178
INS-CLAIM-000020,5037.86,2025-05-14T03:34:27.468754,insurance_claim:home_damage,"Minneapolis, MN",USR-INS-247
INS-CLAIM-000021,1540.96,2025-09-03T08:53:45.466095,insurance_claim:property_loss,"Las Vegas, NV",USR-INS-222
INS-CLAIM-000022,2370.38,2025-03-30T02:30:27.572617,insurance_claim:liability,"Detroit, MI",USR-INS-488
INS-CLAIM-000023,4072.69,2025-05-14T07:03:42.880498,insurance_claim:medical,"Paris, FR",USR-INS-073
INS-CLAIM-000024,1876.0,2025-06-28T08:37:35.078165,insurance_claim:property_loss,"Singapore, SG",USR-INS-293
INS-CLAIM-000025,4286.12,2025-08-31T00:27:51.562255,insurance_claim:auto_collision,"Portland, OR",USR-INS-282
INS-CLAIM-000026,1073.12,2025-01-28T14:12:59.808659,insurance_claim:medical,"Detroit, MI",USR-INS-028
INS-CLAIM-000027,2927.12,2025-12-11T11:30:12.523805,insurance_claim:medical,"Toronto, CA",USR-INS-278
INS-CLAIM-000028,11165.92,2025-02-26T20:17:21.776827,insurance_claim:home_damage,"Seattle, WA",USR-INS-428
INS-CLAIM-000029,4056.35,2025-07-14T13:27:51.944063,insurance_claim:auto_collision,"Phoenix, AZ",USR-INS-482
INS-CLAIM-000030,8056.04,2025-01-07T04:43:15.531526,insurance_claim:liability,"Phoenix, AZ",USR-INS-423
INS-CLAIM-000031,4881.07,2025-06-09T09:01:01.989566,insurance_claim:auto_collision,"Sydney, AU",USR-INS-293
INS-CLAIM-000032,4510.18,2025-10-20T15:03:24.052229,insurance_claim:liability,"Seattle, WA",USR-INS-457
INS-CLAIM-000033,1244.81,2025-01-09T19:46:25.672371,insurance_claim:medical,"San Francisco, CA",USR-INS-057
INS-CLAIM-000034,3545.79,2025-02-21T06:46:05.119355,insurance_claim:auto_collision,"Singapore, SG",USR-INS-083
INS-CLAIM-000035,1680.54,2025-07-28T01:44:00.069994,insurance_claim:property_loss,"Dallas, TX",USR-INS-035
INS-CLAIM-000036,2153.99,2025-07-27T11:27:54.749634,insurance_claim:property_loss,"Portland, OR",USR-INS-115
INS-CLAIM-000037,3522.66,2025-07-21T09:43:28.996946,insurance_claim:auto_collision,"Dallas, TX",USR-INS-266
INS-CLAIM-000038,1579.93,2025-07-15T04:58:00.783673,insurance_claim:property_loss,"Paris, FR",USR-INS-454
INS-CLAIM-000039,1831.0,2025-03-28T18:55:04.050145,insurance_claim:property_loss,"Berlin, DE",USR-INS-282
INS-CLAIM-000040,100,2025-06-18T08:35:56.121811,insurance_claim:home_damage,"San Diego, CA",USR-INS-147
INS-CLAIM-000041,2410.89,2025-10-04T14:07:19.144317,insurance_claim:auto_collision,"San Antonio, TX",USR-INS-403
INS-CLAIM-000042,2444.34,2025-08-06T12:13:35.665171,insurance_claim:medical,"Portland, OR",USR-INS-041
INS-CLAIM-000043,4074.65,2025-04-29T23:26:19.356233,insurance_claim:liability,"Minneapolis, MN",USR-INS-185
INS-CLAIM-000044,4866.61,2025-01-19T04:38:48.775042,insurance_claim:home_damage,"Denver, CO",USR-INS-306
INS-CLAIM-000045,216.82,2025-02-22T08:18:02.177056,insurance_claim:auto_collision,"Austin, TX",USR-INS-294
INS-CLAIM-000046,5374.2,2025-07-31T13:01:20.688594,insurance_claim:liability,"San Diego, CA",USR-INS-033
INS-CLAIM-000047,6192.78,2025-03-10T12:45:47.063401,insurance_claim:liability,"Miami, FL",USR-INS-166
INS-CLAIM-000048,1390.9,2025-04-02T14:55:31.204874,insurance_claim:property_loss,"Las Vegas, NV",USR-INS-357
INS-CLAIM-000049,3285.42,2025-10-02T16:58:32.322146,insurance_claim:auto_collision,"Sydney, AU",USR-INS-447
INS-CLAIM-000050,3485.02,2025-10-19T17:54:57.418068,insurance_claim:liability,"Philadelphia, PA",USR-INS-093
INS-CLAIM-000051,2169.65,2025-05-18T21:22:11.264694,insurance_claim:property_loss,"Sydney, AU",USR-INS-060
INS-CLAIM-000052,2712.85,2025-10-09T08:46:22.451741,insurance_claim:medical,"Phoenix, AZ",USR-INS-072
INS-CLAIM-000053,11129.33,2025-10-21T18:13:46.825010,insurance_claim:home_damage,"Seattle, WA",USR-INS-011
INS-CLAIM-000054,3686.76,2025-09-05T06:39:48.114759,insurance_claim:auto_collision,"Nashville, TN",USR-INS-122
INS-CLAIM-000055,4837.03,2025-04-03T02:05:58.248815,insurance_claim:auto_collision,"Los Angeles, CA",USR-INS-029
INS-CLAIM-000056,3424.92,2025-03-26T11:30:53.067829,insurance_claim:liability,"Phoenix, AZ",USR-INS-490
INS-CLAIM-000057,6753.08,2025-10-31T10:33:14.272707,insurance_claim:home_damage,"Sydney, AU",USR-INS-453
INS-CLAIM-000058,1674.12,2025-06-20T09:45:14.659270,insurance_claim:medical,"Seattle, WA",USR-INS-016
INS-CLAIM-000059,1314.52,2025-11-18T07:56:15.743355,insurance_claim:property_loss,"Mexico City, MX",USR-INS-224
INS-CLAIM-000060,1448.91,2025-10-13T12:49:23.399273,insurance_claim:auto_collision,"Singapore, SG",USR-INS-491
INS-CLAIM-000061,3010.68,2025-09-22T00:10:47.729222,insurance_claim:medical,"Las Vegas, NV",USR-INS-219
INS-CLAIM-000062,6746.71,2025-09-25T17:18:55.184313,insurance_claim:auto_collision,"Chicago, IL",USR-INS-213
INS-CLAIM-000063,583.05,2025-01-27T14:40:39.847296,insurance_claim:property_loss,"Singapore, SG",USR-INS-439
INS-CLAIM-000064,12216.1,2025-07-13T23:58:34.734550,insurance_claim:home_damage,"Philadelphia, PA",USR-INS-296
INS-CLAIM-000065,3290.8,2025-01-01T18:22:04.403831,insurance_claim:medical,"Berlin, DE",USR-INS-326
INS-CLAIM-000066,3518.2,2025-01-14T17:07:52.424707,insurance_claim:liability,"Portland, OR",USR-INS-102
INS-CLAIM-000067,2781.73,2025-06-28T11:05:04.784073,insurance_claim:auto_collision,"San Diego, CA",USR-INS-453
INS-CLAIM-000068,3526.23,2025-11-26T10:55:43.608812,insurance_claim:medical,"Seattle, WA",USR-INS-052
INS-CLAIM-000069,2315.88,2025-08-02T05:55:42.337691,insurance_claim:liability,"Phoenix, AZ",USR-INS-421
INS-CLAIM-000070,2598.32,2025-09-23T22:28:13.918630,insurance_claim:liability,"Sydney, AU",USR-INS-180
INS-CLAIM-000071,12405.42,2025-09-17T15:01:41.052566,insurance_claim:home_damage,"Houston, TX",USR-INS-016
INS-CLAIM-000072,3963.35,2025-02-28T22:55:01.823281,insurance_claim:home_damage,"Toronto, CA",USR-INS-489
INS-CLAIM-000073,777.65,2025-04-10T05:56:04.048976,insurance_claim:property_loss,"San Diego, CA",USR-INS-038
INS-CLAIM-000074,1574.64,2025-09-27T18:28:53.420150,insurance_claim:property_loss,"San Francisco, CA",USR-INS-196
INS-CLAIM-000075,2148.36,2025-12-17T08:32:04.407993,insurance_claim:medical,"Berlin, DE",USR-INS-478
INS-CLAIM-000076,2296.94,2025-09-06T04:40:25.962587,insurance_claim:property_loss,"San Francisco, CA",USR-INS-212
INS-CLAIM-000077,3917.91,2025-01-21T16:35:05.737210,insurance_claim:auto_collision,"San Francisco, CA",USR-INS-160
INS-CLAIM-000078,3181.06,2025-05-14T14:31:09.583057,insurance_claim:medical,"Austin, TX",USR-INS-313
INS-CLAIM-000079,6084.86,2025-10-27T03:00:26.345646,insurance_claim:home_damage,"Tokyo, JP",USR-INS-153
INS-CLAIM-000080,2230.37,2025-06-19T14:22:59.894283,insurance_claim:medical,"Tokyo, JP",USR-INS-199
INS-CLAIM-000081,3954.01,2025-06-16T16:51:16.418234,insurance_claim:home_damage,"Tokyo, JP",USR-INS-228
INS-CLAIM-000082,2347.53,2025-07-23T11:26:54.137851,insurance_claim:liability,"Denver, CO",USR-INS-308
INS-CLAIM-000083,878.83,2025-07-14T05:19:47.439545,insurance_claim:property_loss,"Austin, TX",USR-INS-440
INS-CLAIM-000084,1961.42,2025-08-16T07:07:36.337516,insurance_claim:medical,"London, UK",USR-INS-223
INS-CLAIM-000085,2064.78,2025-11-03T06:38:46.346248,insurance_claim:property_loss,"San Antonio, TX",USR-INS-053
INS-CLAIM-000086,815.13,2025-01-28T01:46:47.728424,insurance_claim:medical,"Singapore, SG",USR-INS-243
INS-CLAIM-000087,6234.52,2025-10-10T05:43:51.189673,insurance_claim:auto_collision,"Nashville, TN",USR-INS-107
INS-CLAIM-000088,3492.81,2025-01-21T23:47:20.160905,insurance_claim:medical,"Atlanta, GA",USR-INS-430
INS-CLAIM-000089,5040.75,2025-02-19T00:53:43.238415,insurance_claim:home_damage,"San Diego, CA",USR-INS-418
INS-CLAIM-000090,2498.87,2025-07-15T05:23:22.124894,insurance_claim:liability,"Minneapolis, MN",USR-INS-023
INS-CLAIM-000091,1522.59,2025-11-05T12:30:19.517844,insurance_claim:property_loss,"Paris, FR",USR-INS-343
INS-CLAIM-000092,1993.48,2025-11-10T20:46:27.232221,insurance_claim:medical,"Denver, CO",USR-INS-254
INS-CLAIM-000093,2867.31,2025-04-10T02:08:05.719217,insurance_claim:home_damage,"Berlin, DE",USR-INS-032
INS-CLAIM-000094,2114.57,2025-11-21T00:50:19.770057,insurance_claim:property_loss,"New York, NY",USR-INS-133
INS-CLAIM-000095,4756.68,2025-11-09T05:08:23.687245,insurance_claim:home_damage,"Detroit, MI",USR-INS-338
INS-CLAIM-000096,2139.93,2025-08-24T18:30:04.075144,insurance_claim:medical,"Portland, OR",USR-INS-460
INS-CLAIM-000097,2670.71,2025-08-31T23:00:18.256670,insurance_claim:home_damage,"Miami, FL",USR-INS-122
INS-CLAIM-000098,1416.09,2025-12-21T01:01:48.325060,insurance_claim:property_loss,"Phoenix, AZ",USR-INS-478
INS-CLAIM-000099,5168.16,2025-11-18T15:44:27.395841,insurance_claim:auto_collision,"Miami, FL",USR-INS-498
INS-CLAIM-000100,1548.16,2025-12-14T22:39:39.386931,insurance_claim:property_loss,"Los Angeles, CA",USR-INS-493
INS-CLAIM-000101,4011.15,2025-05-27T04:42:16.639511,insurance_claim:auto_collision,"Houston, TX",USR-INS-418
INS-CLAIM-000102,2065.36,2025-03-24T06:28:46.250219,insurance_claim:medical,"Denver, CO",USR-INS-470
INS-CLAIM-000103,1241.35,2025-09-11T07:33:43.900984,insurance_claim:property_loss,"Mexico City, MX",USR-INS-171
INS-CLAIM-000104,7637.52,2025-06-20T21:23:48.867035,insurance_claim:home_damage,"Seattle, WA",USR-INS-209
INS-CLAIM-000105,3026.32,2025-04-04T20:03:37.902753,insurance_claim:liability,"San Antonio, TX",USR-INS-391
INS-CLAIM-000106,12628.44,2025-07-10T21:01:48.618513,insurance_claim:home_damage,"Austin, TX",USR-INS-003
INS-CLAIM-000107,3169.82,2025-10-12T05:39:31.701156,insurance_claim:liability,"Miami, FL",USR-INS-232
INS-CLAIM-000108,7375.18,2025-06-01T13:05:49.694188,insurance_claim:home_damage,"Singapore, SG",USR-INS-307
INS-CLAIM-000109,2009.39,2025-02-19T18:49:13.300418,insurance_claim:property_loss,"Seattle, WA",USR-INS-051
INS-CLAIM-000110,1791.68,2025-04-19T20:22:11.759022,insurance_claim:property_loss,"Minneapolis, MN",USR-INS-262
