transaction_id,amount,timestamp,merchant_category,location,user_id
ATM-000001,500,2025-11-12T16:30:43.693306,atm_withdrawal,ATM-Seattle,USR-ATM-312
ATM-000002,60,2025-08-11T15:45:02.848045,atm_withdrawal,ATM-Boston,USR-ATM-094
ATM-000003,80.88,2025-09-14T04:15:36.792382,atm_withdrawal,ATM-Boston,USR-ATM-214
ATM-000004,300,2025-06-23T14:09:23.350222,atm_withdrawal,ATM-Boston,USR-ATM-082
ATM-000005,100,2025-06-10T11:21:06.500405,atm_withdrawal,ATM-Houston,USR-ATM-079
ATM-000006,500,2025-08-09T01:08:08.873317,atm_withdrawal,ATM-Los Angeles,USR-ATM-361
ATM-000007,100,2025-09-12T18:20:50.317320,atm_withdrawal,ATM-Seattle,USR-ATM-252
ATM-000008,300,2025-08-06T22:48:37.054054,atm_withdrawal,ATM-Chicago,USR-ATM-275
ATM-000009,80,2025-10-05T23:12:33.517775,atm_withdrawal,ATM-Boston,USR-ATM-058
ATM-000010,40,2025-09-15T18:39:11.202347,atm_withdrawal,ATM-Houston,USR-ATM-349
ATM-000011,300,2025-06-19T01:47:27.136287,atm_withdrawal,ATM-Boston,USR-ATM-293
ATM-000012,100,2025-11-04T12:31:25.903367,atm_withdrawal,ATM-Houston,USR-ATM-105
ATM-000013,200.92,2025-11-23T00:54:57.362655,atm_withdrawal,ATM-Dallas,USR-ATM-059
ATM-000014,80,2025-08-27T00:24:21.006231,atm_withdrawal,ATM-Houston,USR-ATM-186
ATM-000015,80,2025-06-21T09:00:19.495101,atm_withdrawal,ATM-New York,USR-ATM-330
ATM-000016,100,2025-10-02T07:03:12.968938,atm_withdrawal,ATM-Phoenix,USR-ATM-298
ATM-000017,100.38,2025-06-28T19:26:51.808314,atm_withdrawal,ATM-Miami,USR-ATM-243
ATM-000018,500.57,2025-06-03T13:32:04.566729,atm_withdrawal,ATM-Atlanta,USR-ATM-184
ATM-000019,300,2025-10-10T12:41:46.961559,atm_withdrawal,ATM-Houston,USR-ATM-306
ATM-000020,80,2025-08-21T05:09:50.140863,atm_withdrawal,ATM-Los Angeles,USR-ATM-145
ATM-000021,500,2025-10-27T15:19:55.900162,atm_withdrawal,ATM-Houston,USR-ATM-263
ATM-000022,300,2025-06-01T13:56:38.263214,atm_withdrawal,ATM-Houston,USR-ATM-323
ATM-000023,500,2025-11-18T19:30:30.574475,atm_withdrawal,ATM-Houston,USR-ATM-154
ATM-000024,60,2025-09-04T12:53:04.931003,atm_withdrawal,ATM-San Diego,USR-ATM-271
ATM-000025,20,2025-09-08T11:46:56.920727,atm_withdrawal,ATM-Boston,USR-ATM-028
ATM-000026,80,2025-08-22T04:27:58.590977,atm_withdrawal,ATM-Atlanta,USR-ATM-277
ATM-000027,300,2025-09-11T04:42:50.759437,atm_withdrawal,ATM-Seattle,USR-ATM-246
ATM-000028,500,2025-10-05T10:12:50.668454,atm_withdrawal,ATM-Denver,USR-ATM-014
ATM-000029,60,2025-08-02T10:56:41.622345,atm_withdrawal,ATM-New York,USR-ATM-151
ATM-000030,200,2025-05-02T06:09:05.567562,atm_withdrawal,ATM-Chicago,USR-ATM-359
ATM-000031,100,2025-07-31T21:28:32.845330,atm_withdrawal,ATM-Miami,USR-ATM-364
ATM-000032,200,2025-11-15T16:20:34.718909,atm_withdrawal,ATM-Dallas,USR-ATM-269
ATM-000033,200,2025-08-27T20:42:50.827435,atm_withdrawal,ATM-Atlanta,USR-ATM-339
ATM-000034,100,2025-11-19T16:15:39.230321,atm_withdrawal,ATM-Atlanta,USR-ATM-335
ATM-000035,300,2025-09-05T12:24:59.607079,atm_withdrawal,ATM-New York,USR-ATM-163
ATM-000036,100,2025-11-25T19:07:15.961798,atm_withdrawal,ATM-San Antonio,USR-ATM-033
ATM-000037,60,2025-10-03T00:16:30.541122,atm_withdrawal,ATM-Miami,USR-ATM-229
ATM-000038,100,2025-10-17T03:52:03.160901,atm_withdrawal,ATM-Boston,USR-ATM-032
ATM-000039,20.41,2025-09-21T07:25:05.717024,atm_withdrawal,ATM-Miami,USR-ATM-153
ATM-000040,20,2025-09-09T16:33:30.548842,atm_withdrawal,ATM-Boston,USR-ATM-003
ATM-000041,60,2025-06-16T19:48:11.710215,atm_withdrawal,ATM-Dallas,USR-ATM-344
ATM-000042,500,2025-11-14T12:29:22.204269,atm_withdrawal,ATM-Houston,USR-ATM-281
ATM-000043,80,2025-07-11T13:04:55.455062,atm_withdrawal,ATM-Atlanta,USR-ATM-207
ATM-000044,20,2025-10-06T09:11:09.410374,atm_withdrawal,ATM-Dallas,USR-ATM-137
ATM-000045,300,2025-10-17T08:49:03.571780,atm_withdrawal,ATM-Los Angeles,USR-ATM-364
