transaction_id,amount,timestamp,merchant_category,location,user_id
PAY-000001,7556.57,2025-01-15T15:00:00,payroll:Marketing,"Chicago, IL",EMP-PR-001
PAY-000002,8819.05,2025-01-15T17:00:00,payroll:Marketing,"Los Angeles, CA",EMP-PR-002
PAY-000003,7773.79,2025-01-15T15:00:00,payroll:Engineering,"Chicago, IL",EMP-PR-003
PAY-000004,3776.51,2025-01-15T15:00:00,payroll:Support,"Chicago, IL",EMP-PR-004
PAY-000005,13862.09,2025-01-15T15:00:00,payroll:Marketing,"Los Angeles, CA",EMP-PR-005
PAY-000006,10814.66,2025-01-15T11:00:00,payroll:Operations,"New York, NY",EMP-PR-006
PAY-000007,10844.15,2025-01-15T15:00:00,payroll:Sales,"Houston, TX",EMP-PR-007
PAY-000008,13844.73,2025-01-15T16:00:00,payroll:Sales,"New York, NY",EMP-PR-008
PAY-000009,13702.54,2025-01-15T09:00:00,payroll:Finance,"Chicago, IL",EMP-PR-009
PAY-000010,7748.35,2025-01-15T17:00:00,payroll:Finance,"Los Angeles, CA",EMP-PR-010
PAY-000011,8748.16,2025-01-15T08:00:00,payroll:Marketing,"Los Angeles, CA",EMP-PR-011
PAY-000012,11178.04,2025-01-15T08:00:00,payroll:HR,"Houston, TX",EMP-PR-012
PAY-000013,7365.8,2025-01-15T11:00:00,payroll:Support,"Houston, TX",EMP-PR-013
PAY-000014,11125.13,2025-01-15T17:00:00,payroll:Sales,"Phoenix, AZ",EMP-PR-014
PAY-000015,5703.73,2025-01-15T12:00:00,payroll:Legal,"Chicago, IL",EMP-PR-015
PAY-000016,4347.15,2025-01-15T10:00:00,payroll:Finance,"New York, NY",EMP-PR-016
PAY-000017,7393.05,2025-01-15T12:00:00,payroll:HR,"Los Angeles, CA",EMP-PR-017
PAY-000018,3816.57,2025-01-15T16:00:00,payroll:Support,"Chicago, IL",EMP-PR-018
PAY-000019,5169.85,2025-01-15T15:00:00,payroll:Sales,"New York, NY",EMP-PR-019
PAY-000020,10819.05,2025-01-15T16:00:00,payroll:HR,"Houston, TX",EMP-PR-020
PAY-000021,14121.35,2025-01-15T16:00:00,payroll:Support,"New York, NY",EMP-PR-021
PAY-000022,10886.42,2025-01-15T09:00:00,payroll:Legal,"Houston, TX",EMP-PR-022
PAY-000023,3371.12,2025-01-15T08:00:00,payroll:Finance,"Houston, TX",EMP-PR-023
PAY-000024,7150.65,2025-01-15T08:00:00,payroll:Marketing,"New York, NY",EMP-PR-024
PAY-000025,6794.15,2025-01-15T08:00:00,payroll:Sales,"Phoenix, AZ",EMP-PR-025
PAY-000026,8906.63,2025-01-15T12:00:00,payroll:Sales,"Los Angeles, CA",EMP-PR-026
PAY-000027,14059.09,2025-01-15T13:00:00,payroll:Legal,"Houston, TX",EMP-PR-027
