transaction_id,amount,timestamp,merchant_category,location,user_id
TXN-RETAIL-000001,25.47,2025-01-22T10:35:52.450960,electronics:Micro Center,"Singapore, SG",USR-0154
TXN-RETAIL-000002,6.02,2025-04-22T20:48:40.800421,healthcare:Dental Office,"Toronto, CA",USR-0199
TXN-RETAIL-000003,88.49,2025-05-19T06:15:29.502816,clothing:Nordstrom,"Berlin, DE",USR-0026
TXN-RETAIL-000004,140.1,2025-03-22T22:30:31.956097,utilities:Comcast,"Dallas, TX",USR-0090
TXN-RETAIL-000005,133.02,2025-06-26T09:13:16.837394,entertainment:Disney+,"Miami, FL",USR-0023
TXN-RETAIL-000006,84.9,2025-04-11T08:11:10.750213,travel:Hertz,"Singapore, SG",USR-0166
TXN-RETAIL-000007,147.25,2025-05-07T17:10:27.617783,clothing:H&M,"Boston, MA",USR-0024
TXN-RETAIL-000008,94.76,2025-03-13T18:42:02.776177,clothing:Uniqlo,"Houston, TX",USR-0109
TXN-RETAIL-000009,45.87,2025-04-02T03:28:11.259680,clothing:Nordstrom,"Minneapolis, MN",USR-0123
TXN-RETAIL-000010,114.13,2025-04-03T07:56:29.355121,retail:Best Buy,"Phoenix, AZ",USR-0013
TXN-RETAIL-000011,76.36,2025-06-23T06:58:23.199402,electronics:Apple Store,"Singapore, SG",USR-0059
TXN-RETAIL-000012,43.52,2025-06-02T22:23:46.600112,grocery:Kroger,"Tokyo, JP",USR-0140
TXN-RETAIL-000013,29.91,2025-02-15T04:20:52.788654,healthcare:Quest Diagnostics,"Paris, FR",USR-0103
TXN-RETAIL-000014,4348.59,2025-03-19T22:50:55.364235,travel:Hertz,"Singapore, SG",USR-0153
TXN-RETAIL-000015,67.98,2025-06-22T22:05:58.692336,electronics:B&H Photo,"Atlanta, GA",USR-0131
TXN-RETAIL-000016,105.59,2025-05-19T00:09:30.399456,utilities:AT&T,"Mexico City, MX",USR-0009
TXN-RETAIL-000017,100.77,2025-05-30T15:39:38.248351,entertainment:Disney+,"Paris, FR",USR-0132
TXN-RETAIL-000018,75.91,2025-02-16T14:09:02.110185,restaurant:Olive Garden,"Portland, OR",USR-0017
TXN-RETAIL-000019,139.5,2025-04-27T17:43:42.227932,utilities:Comcast,"Atlanta, GA",USR-0004
TXN-RETAIL-000020,122.88,2025-01-17T14:10:06.520868,utilities:T-Mobile,"Berlin, DE",USR-0022
TXN-RETAIL-000021,93.77,2025-04-20T19:46:39.627250,gas:Chevron,"Dallas, TX",USR-0172
TXN-RETAIL-000022,8981.23,2025-05-17T09:05:50.316908,entertainment:Spotify,"Minneapolis, MN",USR-0197
TXN-RETAIL-000023,41.59,2025-06-16T17:11:50.982148,utilities:Water Dept,"Detroit, MI",USR-0178
TXN-RETAIL-000024,72.15,2025-04-01T20:23:47.063291,grocery:Kroger,"Mexico City, MX",USR-0035
TXN-RETAIL-000025,45.25,2025-05-22T00:27:07.126372,clothing:H&M,"Paris, FR",USR-0051
TXN-RETAIL-000026,83.07,2025-03-09T16:20:48.206441,grocery:Kroger,"Los Angeles, CA",USR-0089
TXN-RETAIL-000027,49.43,2025-04-27T07:53:49.078139,retail:Amazon,"Miami, FL",USR-0032
TXN-RETAIL-000028,82.67,2025-03-31T13:30:03.660752,utilities:T-Mobile,"Philadelphia, PA",USR-0040
TXN-RETAIL-000029,53.33,2025-04-17T10:15:03.985246,gas:ExxonMobil,"Tokyo, JP",USR-0018
TXN-RETAIL-000030,53.98,2025-04-09T12:34:08.725221,retail:Walmart,"Philadelphia, PA",USR-0012
TXN-RETAIL-000031,123.68,2025-04-27T16:21:25.326184,retail:Costco,"London, UK",USR-0006
TXN-RETAIL-000032,42.8,2025-01-24T05:53:01.833026,electronics:Best Buy,"Las Vegas, NV",USR-0036
TXN-RETAIL-000033,77.95,2025-01-29T20:53:15.855273,restaurant:Olive Garden,"Denver, CO",USR-0079
TXN-RETAIL-000034,133.86,2025-02-03T16:41:55.473846,restaurant:Chipotle,"Sydney, AU",USR-0107
TXN-RETAIL-000035,41.94,2025-02-21T18:44:07.971273,restaurant:Chipotle,"Las Vegas, NV",USR-0071
TXN-RETAIL-000036,3838.08,2025-05-27T21:46:41.228514,gas:Chevron,"Atlanta, GA",USR-0166
TXN-RETAIL-000037,121.16,2025-03-01T11:30:36.409447,electronics:Best Buy,"Nashville, TN",USR-0176
TXN-RETAIL-000038,76.01,2025-04-14T00:28:31.098198,electronics:Best Buy,"Tokyo, JP",USR-0072
TXN-RETAIL-000039,38.42,2025-04-11T01:03:17.837521,clothing:Zara,"Phoenix, AZ",USR-0026
TXN-RETAIL-000040,63.14,2025-05-21T16:15:14.497319,grocery:Kroger,"London, UK",USR-0016
TXN-RETAIL-000041,52.83,2025-05-17T15:22:01.227917,restaurant:McDonald's,"Austin, TX",USR-0081
