transaction_id,amount,timestamp,merchant_category,location,user_id
CC-000001,110.23,2025-06-16T03:54:49.481821,grocery:Aldi,"San Antonio, TX",USR-CC-015
CC-000002,139.74,2025-03-04T00:51:07.997957,electronics:Newegg,"Phoenix, AZ",USR-CC-037
CC-000003,74.36,2025-03-12T03:00:38.298394,utilities:Comcast,"Dallas, TX",USR-CC-036
CC-000004,163.89,2025-08-03T11:16:21.387423,retail:Walmart,"Dallas, TX",USR-CC-089
CC-000005,140.6,2025-06-01T11:17:22.482573,healthcare:CVS Pharmacy,"Chicago, IL",USR-CC-051
CC-000006,75.92,2025-03-29T00:44:35.578959,entertainment:AMC Theaters,"Austin, TX",USR-CC-044
CC-000007,64.96,2025-03-22T01:28:11.138233,retail:Best Buy,"Phoenix, AZ",USR-CC-022
CC-000008,59.25,2025-07-22T02:11:37.607403,travel:Airbnb,"Los Angeles, CA",USR-CC-083
CC-000009,143.99,2025-08-31T01:41:05.422942,clothing:H&M,"Dallas, TX",USR-CC-027
CC-000010,88.25,2025-07-21T04:30:40.126266,clothing:H&M,"San Antonio, TX",USR-CC-015
CC-000011,171.93,2025-09-05T15:34:33.846578,travel:Hertz,"Philadelphia, PA",USR-CC-056
CC-000012,79.45,2025-07-11T22:49:52.647656,restaurant:Starbucks,"Philadelphia, PA",USR-CC-048
CC-000013,35.26,2025-03-30T12:04:08.292301,healthcare:Quest Diagnostics,"Chicago, IL",USR-CC-060
CC-000014,116.56,2025-09-15T17:06:18.949680,grocery:Safeway,"Chicago, IL",USR-CC-041
CC-000015,82.81,2025-03-26T01:31:42.956719,clothing:Uniqlo,"Los Angeles, CA",USR-CC-061
CC-000016,140.93,2025-04-06T12:31:57.748252,grocery:Whole Foods,"Houston, TX",USR-CC-082
CC-000017,113.97,2025-08-30T22:51:22.365727,entertainment:Steam,"Phoenix, AZ",USR-CC-005
CC-000018,181.08,2025-06-17T22:54:59.207776,electronics:B&H Photo,"New York, NY",USR-CC-016
CC-000019,104.34,2025-05-29T12:53:27.278976,electronics:Micro Center,"Dallas, TX",USR-CC-027
CC-000020,207.3,2025-08-30T08:18:03.668989,grocery:Safeway,"New York, NY",USR-CC-019
CC-000021,57.95,2025-04-10T21:35:28.636177,healthcare:Walgreens,"Philadelphia, PA",USR-CC-035
CC-000022,150.81,2025-03-25T08:06:58.220861,clothing:Zara,"Philadelphia, PA",USR-CC-076
CC-000023,90.43,2025-04-03T11:03:43.346981,utilities:T-Mobile,"San Antonio, TX",USR-CC-082
CC-000024,67.31,2025-09-06T23:43:32.044935,electronics:Newegg,"Houston, TX",USR-CC-049
CC-000025,133.85,2025-04-24T18:25:13.265071,healthcare:Quest Diagnostics,"Philadelphia, PA",USR-CC-025
CC-000026,7612.4,2025-07-31T01:52:40.057698,restaurant:Olive Garden,"Dubai, UAE",USR-CC-016
CC-000027,96.05,2025-08-08T18:15:05.697937,electronics:B&H Photo,"Philadelphia, PA",USR-CC-025
CC-000028,193.07,2025-09-13T06:17:21.935641,retail:Best Buy,"Phoenix, AZ",USR-CC-022
CC-000029,201.51,2025-09-06T09:43:38.646841,restaurant:Starbucks,"Houston, TX",USR-CC-018
CC-000030,101.67,2025-05-01T01:32:24.431918,utilities:Water Dept,"Houston, TX",USR-CC-068
CC-000031,86.09,2025-07-15T10:11:26.244971,grocery:Whole Foods,"Phoenix, AZ",USR-CC-007
CC-000032,267.81,2025-08-31T06:00:41.650680,restaurant:Starbucks,"Los Angeles, CA",USR-CC-013
CC-000033,101.51,2025-06-02T03:22:59.054498,electronics:Micro Center,"Chicago, IL",USR-CC-057
CC-000034,83.56,2025-06-08T17:13:50.050403,gas:Costco Gas,"Dallas, TX",USR-CC-018
CC-000035,88.53,2025-06-05T13:34:11.345897,restaurant:Starbucks,"Los Angeles, CA",USR-CC-043
CC-000036,38.69,2025-05-19T00:30:49.210895,restaurant:Olive Garden,"San Antonio, TX",USR-CC-015
CC-000037,120.3,2025-04-20T22:20:15.078533,travel:Airbnb,"Chicago, IL",USR-CC-011
CC-000038,154.18,2025-03-11T15:52:56.473393,electronics:Newegg,"Houston, TX",USR-CC-023
CC-000039,112.05,2025-03-25T21:09:44.054823,utilities:Water Dept,"New York, NY",USR-CC-010
CC-000040,145.61,2025-05-22T15:43:07.685449,utilities:Electric Co,"San Diego, CA",USR-CC-083
CC-000041,176.38,2025-03-15T02:33:43.371411,electronics:B&H Photo,"Austin, TX",USR-CC-006
CC-000042,154.46,2025-05-01T02:47:04.111321,retail:Amazon,"Houston, TX",USR-CC-017
CC-000043,61.57,2025-09-17T01:11:16.811165,gas:BP,"Dallas, TX",USR-CC-001
CC-000044,121.24,2025-09-20T12:00:03.021543,healthcare:CVS Pharmacy,"Austin, TX",USR-CC-091
CC-000045,138.11,2025-05-11T08:12:28.595609,grocery:Aldi,"New York, NY",USR-CC-027
CC-000046,215.23,2025-07-09T12:41:25.170659,utilities:T-Mobile,"Philadelphia, PA",USR-CC-029
CC-000047,72.54,2025-07-18T12:14:40.747475,gas:Shell,"New York, NY",USR-CC-049
